id,ПІБ,Округ,Висування,Номер і дата реєстрації,Номер та дата рішення про скасування реєстрації кандидата,Дата народження,Основні відомості,Передвиборна програма,Фотографія,Довірені особи
0,Бевз Світлана Володимирівна,11,Самовисування,1096 від 20.06.2019,,4 листопада 1973,"народилася 4 листопада 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри електричних станцій та систем, Вінницький національний технічний університет, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17306pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17306.jpg,"Бурбело Сергій Михайлович,Гандурський Петро Францович,Мадатян Ваган Зармаілович"
1,Гижко Андрій Петрович,11,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,27 червня 1978,"народився 27 червня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Вінницька обласна державна адміністрація, член Політичної партії ""Європейська Солідарність"", проживає в селі Березино Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18708pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18708.jpg,
2,Горлачов Ігор Ярославович,11,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",1229 від 24.06.2019,,31 березня 1984,"народився 31 березня 1984 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19530pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19530.jpg,
3,Давиденко Ганна Віталіївна,11,Самовисування,1209 від 24.06.2019,,24 травня 1983,"народилася 24 травня 1983 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, проректор з наукової та міжнародної діяльності, ВНЗ ""Відкритий міжнародний університет розвитку людини ""Україна"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20274pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20274.jpg,"Ілініч Максим Олегович,Сергієнко Сергій Віталійович,Сольська Алла Анатоліївна"
4,Кістіон Володимир Євсевійович,11,Самовисування,985 від 12.06.2019,,31 травня 1965,"народився 31 травня 1965 року в селі Довжок Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Віце-прем’єр-міністр України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15335pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15335.jpg,"Мамула Анатолій Миколайович,Мар’євич Костянтин Михайлович,Поплавський Олександр Анатолійович"
5,Ковальов Андрій Євгенійович,11,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1286 від 25.06.2019,,24 сiчня 1977,"народився 24 сiчня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник генерального директора, АТ ""Вінницяобленерго"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21186pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21186.jpg,
6,Кудлаєнко Сергій Володимирович,11,Самовисування,1209 від 24.06.2019,,13 жовтня 1975,"народився 13 жовтня 1975 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент кафедри менеджменту та адміністрування, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19890pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19890.jpg,"Бобровська Людмила Аксентіївна,Вдовкін Петро Петрович,Приленський Ігор Генріхович"
7,Лепей Олена Володимирівна,11,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,3 жовтня 1977,"народилася 3 жовтня 1977 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач, Вінницьке відділення навчально-наукового інституту заочного та дистанційного навчання НАВС, безпартійнa, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21393pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21393.jpg,
8,Пашковський Максим Ігорович,11,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 30.07.2019,24 березня 1983,"народився 24 березня 1983 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Панчер Солюшнс"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21027pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21027.jpg,"Козак Вікторія Валеріївна,Олійник Жанна Іванівна,Пашковський Єгор Ігорович"
9,Приходько Анастасія Костянтинівна,11,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,21 квiтня 1987,"народилася 21 квiтня 1987 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в селі Крюківщина Києво-Святошинського району Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19319pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19319.jpg,
10,Скрипченко Валерій Володимирович,11,"політична партія Всеукраїнське об’єднання ""Свобода""",1279 від 25.06.2019,,6 березня 1975,"народився 6 березня 1975 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21541pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21541.jpg,
11,Хаджинов Максим Геннадійович,11,Самовисування,1096 від 20.06.2019,,9 квiтня 1991,"народився 9 квiтня 1991 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник цеху № 3 по виготовленню електронагрівальних плит, ПП ""ВО Елна-Сервіс"", безпартійний, проживає в селі Якушенці Вінницького району Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17595pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17595.jpg,"Брилянт Ірина Олександрівна,Іванець Ольга Владиславівна,Нагорняк Ірина Олександрівна"
12,Шулікін Олег Миколайович,11,Самовисування,1139 від 22.06.2019,,24 серпня 1966,"народився 24 серпня 1966 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Агрономічненський сільський голова, безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18816pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18816.jpg,"Іщенко Богдан Юрійович,Хомич Андрій Миколайович,Шевченко Руслан Станіславович"
